ticker,market,current_price,market_cap_crores,market_cap_category,volume,avg_volume,52w_high,52w_low,pe_ratio,pb_ratio,dividend_yield,beta,eps,roe,debt_to_equity,current_ratio,price_change,price_change_percent
20MICRONS.NS,NSE,201.01,711.49,Small Cap,135437,0,283.93,158.2,11.37,1.56,60.0,0.52,17.68,,,,-6.53,-314.64
21STCENMGM.NS,NSE,47.37,49.74,Small Cap,1311,0,91.7,36.03,,1.05,415.0,0.68,-19.14,,,,-0.13,-27.37
360ONE.NS,NSE,1182.9,47939.43,Large Cap,1029259,0,1273.8,790.5,42.78,5.12,101.0,0.33,27.65,,,,-8.9,-74.68
3IINFOLTD.NS,NSE,16.2,336.54,Small Cap,702748,0,31.7,15.6,4.11,0.89,,-0.51,3.94,,,,-0.49,-293.59
3MINDIA.NS,NSE,34830.0,39236.24,Large Cap,2631,0,37305.0,25718.15,70.83,24.36,46.0,-0.05,491.74,,,,-45.0,-12.9
3PLAND.NS,NSE,36.68,,Unknown,3965,0,59.94,34.05,,,,,,,,,-0.72,-192.51
5PAISA.NS,NSE,373.7,1167.41,Small Cap,142557,0,456.1,287.65,24.72,1.86,,0.19,15.12,,,,-11.05,-287.2
63MOONS.NS,NSE,679.65,3131.91,Small Cap,126241,0,1130.0,591.25,,0.9,17.0,0.48,-7.06,,,,-33.1,-464.4
A2ZINFRA.NS,NSE,14.86,262.49,Small Cap,316454,0,24.49,12.35,106.14,5.52,,0.11,0.14,,,,-0.35,-230.11
AAATECH.NS,NSE,98.39,126.2,Small Cap,30061,0,136.0,66.0,35.91,4.1,159.0,0.31,2.74,,,,3.77,398.44
